"ModName","Adj.Rsq","AIC","dAIC","BIC","dBIC","Adj.Rsq.TrainTest","seTT","Response","S_ref","N_ref","N","ndays"
"weightedEndmember",0.267591710126715,9628.46918810297,-564.228913878593,9671.29203864282,-483.740836717679,0.252800948603575,0.00619681362361003,"DIC_umol_kg","DICoce_mean","DICrefN",861,4
"cyclicalTime",0.402269604204465,9457.46842156127,-393.228147336888,9519.32365011883,-331.772448193686,0.386148078585704,0.00543152901794437,"DIC_umol_kg","DICoce_mean","DICrefN",861,4
"environmental",0.571817284826036,9175.16194215729,-110.921667932906,9260.80764323699,-73.2564413118416,0.557989012292638,0.00499530313862343,"DIC_umol_kg","DICoce_mean","DICrefN",861,4
"modMetabolism",0.624652748823093,9068.59883931445,-4.35856509006953,9187.55120192514,0,0.595054459243459,0.00529682528615899,"DIC_umol_kg","DICoce_mean","DICrefN",861,4
"year",0.624789292365941,9069.25627956746,-5.01600534308091,9192.96673668258,-5.41553475743967,0.585006695903951,0.0057231479206036,"DIC_umol_kg","DICoce_mean","DICrefN",861,4
"SRnoYear",0.62780741757736,9064.24027422438,0,9197.46692034836,-9.91571842321355,0.594520050860812,0.00506952155568341,"DIC_umol_kg","DICoce_mean","DICrefN",861,4
"subregion",0.627844210194816,9065.12216344805,-0.881889223664984,9203.10690407645,-15.5557021513068,0.596885100600108,0.00508672595618991,"DIC_umol_kg","DICoce_mean","DICrefN",861,4
"simple",0.203046974408118,9699.20358166976,-645.316804606362,9732.51024320075,-554.417660943742,0.19770300334296,0.00429535949186455,"DIC_umol_kg","DICoce_mean","DICrefN",861,5
"weightedEndmember",0.277201796710039,9617.09704967985,-563.210272616454,9659.9199002197,-481.827317962689,0.266068288984993,0.00636699948759959,"DIC_umol_kg","DICoce_mean","DICrefN",861,5
"cyclicalTime",0.407385328448228,9450.06776806507,-396.180991001676,9511.92299662263,-333.830414365622,0.396946674928986,0.00470528928469739,"DIC_umol_kg","DICoce_mean","DICrefN",861,5
"environmental",0.573064760077455,9172.64982801673,-118.763050953336,9258.29552909643,-80.2029468394194,0.557464077631891,0.00547874021149333,"DIC_umol_kg","DICoce_mean","DICrefN",861,5
"modMetabolism",0.628753604994317,9059.14021964632,-5.25344258292171,9178.09258225701,0,0.608449242513759,0.00504020947035059,"DIC_umol_kg","DICoce_mean","DICrefN",861,5
"year",0.629130702527134,9059.23591629951,-5.34913923611384,9182.94637341463,-4.85379115762044,0.597292983166403,0.00467678509043365,"DIC_umol_kg","DICoce_mean","DICrefN",861,5
"SRnoYear",0.632256219389908,9053.8867770634,0,9187.11342318737,-9.02084093036137,0.608496642657776,0.00496486296663195,"DIC_umol_kg","DICoce_mean","DICrefN",861,5
"subregion",0.632536228069288,9054.19794836953,-0.311171306131655,9192.18268899793,-14.0901067409213,0.607297361702256,0.00492590446067312,"DIC_umol_kg","DICoce_mean","DICrefN",861,5
"simple",0.208498669927495,9693.29352419073,-627.796477834087,9726.60018572173,-535.482657173496,0.202566478523509,0.00486891389914832,"DIC_umol_kg","DICoce_mean","DICrefN",861,6
"weightedEndmember",0.284262066892659,9608.64548383645,-543.148437479806,9651.4683343763,-460.350805828069,0.275323130510994,0.00604376892654267,"DIC_umol_kg","DICoce_mean","DICrefN",861,6
"cyclicalTime",0.411273326059973,9444.40034934092,-378.903302984276,9506.25557789848,-315.138049350251,0.392660506083172,0.00544071109902443,"DIC_umol_kg","DICoce_mean","DICrefN",861,6
"environmental",0.574036838757692,9170.68720244505,-105.190156088403,9256.33290352475,-65.2153749765166,0.553425791190226,0.00520748710696125,"DIC_umol_kg","DICoce_mean","DICrefN",861,6
"modMetabolism",0.623094808010259,9072.16516593754,-6.66811958089238,9191.11752854823,0,0.592862698746107,0.0048865659433965,"DIC_umol_kg","DICoce_mean","DICrefN",861,6
"year",0.623813227486934,9071.49315779962,-5.9961114429716,9195.20361491474,-4.08608636650752,0.593595422545753,0.00453944868011196,"DIC_umol_kg","DICoce_mean","DICrefN",861,6
"SRnoYear",0.627077116607082,9065.92803770696,-0.430991350316617,9199.15468383094,-8.03715528270732,0.599699476689668,0.00466736864334267,"DIC_umol_kg","DICoce_mean","DICrefN",861,6
"subregion",0.627682136766234,9065.49704635664,0,9203.48178698505,-12.364258436819,0.599543894980921,0.00456554111191903,"DIC_umol_kg","DICoce_mean","DICrefN",861,6
"simple",0.211466327490169,9690.05922094819,-608.97175182162,9723.36588247918,-517.433227505451,0.200313992428157,0.00419885892316346,"DIC_umol_kg","DICoce_mean","DICrefN",861,7
"weightedEndmember",0.287362949924639,9604.90715949414,-523.819690367569,9647.73001003399,-441.797355060255,0.273904835480307,0.00521683637414253,"DIC_umol_kg","DICoce_mean","DICrefN",861,7
"cyclicalTime",0.411290046400017,9444.37589585877,-363.288426732197,9506.23112441633,-300.298469442594,0.400251580829427,0.00572508313607641,"DIC_umol_kg","DICoce_mean","DICrefN",861,7
"environmental",0.573085858782731,9172.60727722113,-91.5198080945574,9258.25297830082,-52.3203233270924,0.562229837077102,0.00492789452495369,"DIC_umol_kg","DICoce_mean","DICrefN",861,7
"modMetabolism",0.616553326542341,9086.98029236304,-5.89282323647058,9205.93265497373,0,0.593793010704274,0.00512604007641329,"DIC_umol_kg","DICoce_mean","DICrefN",861,7
"year",0.617490894947066,9085.84318785866,-4.75571873208719,9209.55364497378,-3.62099000004491,0.584650157156322,0.00487291044005171,"DIC_umol_kg","DICoce_mean","DICrefN",861,7
"SRnoYear",0.620070652225731,9081.9543965486,-0.86692742203013,9215.18104267258,-9.24838769884263,0.59447509224213,0.00470029794509175,"DIC_umol_kg","DICoce_mean","DICrefN",861,7
"subregion",0.620879042213213,9081.08746912657,0,9219.07220975497,-13.1395547812408,0.590191141077462,0.00540324708517597,"DIC_umol_kg","DICoce_mean","DICrefN",861,7
"simple",0.214968974374461,9686.22616095162,-588.422802768735,9719.53282248261,-499.014311400604,0.201730234015881,0.00434373537446043,"DIC_umol_kg","DICoce_mean","DICrefN",861,8
"weightedEndmember",0.290650904972504,9600.92549715366,-503.122138970781,9643.74834769351,-423.229836611505,0.273862809551141,0.00553727475111761,"DIC_umol_kg","DICoce_mean","DICrefN",861,8
"cyclicalTime",0.41205639364463,9443.25436766497,-345.451009482093,9505.10959622254,-284.591085140528,0.401475655392539,0.00481277038476011,"DIC_umol_kg","DICoce_mean","DICrefN",861,8
"environmental",0.572237631382702,9174.31628413264,-76.5129259497535,9259.96198521233,-39.4434741303266,0.562674148170792,0.00542597532635606,"DIC_umol_kg","DICoce_mean","DICrefN",861,8
"modMetabolism",0.610002176512867,9101.56614847131,-3.76279028843237,9220.51851108201,0,0.586869875518533,0.00518148496327075,"DIC_umol_kg","DICoce_mean","DICrefN",861,8
"year",0.611058837830597,9100.20089760158,-2.39753941870185,9223.91135471671,-3.39284363469778,0.584012828388978,0.0053356985593729,"DIC_umol_kg","DICoce_mean","DICrefN",861,8
"SRnoYear",0.612522131644383,9098.89321523019,-1.08985704730367,9232.11986135416,-11.6013502721544,0.582509046798459,0.00470406141470802,"DIC_umol_kg","DICoce_mean","DICrefN",861,8
"subregion",0.613446682024728,9097.80335818288,0,9235.78809881129,-15.269587729279,0.583197185314516,0.00466978833808443,"DIC_umol_kg","DICoce_mean","DICrefN",861,8
"simple",0.212007833638445,9689.46774721461,-571.287860273918,9722.7744087456,-483.182133708375,0.201504673634083,0.0044436908202462,"DIC_umol_kg","DICoce_mean","DICrefN",861,9
"weightedEndmember",0.292843720947095,9598.25975920893,-480.079872268239,9641.08260974878,-401.490334711551,0.285712147672491,0.00621871055240306,"DIC_umol_kg","DICoce_mean","DICrefN",861,9
"cyclicalTime",0.411268741710681,9444.40705382629,-326.227166885599,9506.26228238385,-266.670007346622,0.39952628494306,0.00516951624930173,"DIC_umol_kg","DICoce_mean","DICrefN",861,9
"environmental",0.571856533242546,9175.08301688944,-56.9031299487433,9260.72871796913,-21.1364429319037,0.548932035942442,0.00447498969640091,"DIC_umol_kg","DICoce_mean","DICrefN",861,9
"modMetabolism",0.601266133035035,9120.63991242654,-2.46002548584511,9239.59227503723,0,0.567516476449312,0.00500964994611538,"DIC_umol_kg","DICoce_mean","DICrefN",861,9
"year",0.602647160034624,9118.6233473933,-0.443460452612271,9242.33380450843,-2.74152947119546,0.579244500375767,0.00521721685090464,"DIC_umol_kg","DICoce_mean","DICrefN",861,9
"SRnoYear",0.602909492576255,9119.99245060969,-1.81256366900016,9253.21909673367,-13.6268216964381,0.57725025849294,0.00511696412924898,"DIC_umol_kg","DICoce_mean","DICrefN",861,9
"subregion",0.60418935463036,9118.17988694069,0,9256.1646275691,-16.5723525318663,0.570484402320725,0.00508787347218496,"DIC_umol_kg","DICoce_mean","DICrefN",861,9
"simple",0.203906692556964,9698.2742710996,-567.141662065691,9731.5809326306,-478.928702366749,0.198314176151541,0.00434661239179388,"DIC_umol_kg","DICoce_mean","DICrefN",861,10
"weightedEndmember",0.292713633497767,9598.41813296066,-467.285523926743,9641.24098350051,-388.588753236656,0.271519519175528,0.00671078899866109,"DIC_umol_kg","DICoce_mean","DICrefN",861,10
"cyclicalTime",0.410179887182476,9445.99799680682,-314.865387772907,9507.85322536438,-255.200995100531,0.397602152970957,0.00561707198345716,"DIC_umol_kg","DICoce_mean","DICrefN",861,10
"environmental",0.572074989420709,9174.64358761839,-43.5109785844761,9260.28928869809,-7.6370584342385,0.558632130518555,0.00531759022259068,"DIC_umol_kg","DICoce_mean","DICrefN",861,10
"modMetabolism",0.595171892501036,9133.69986765316,-2.56725861924315,9252.65223026385,0,0.567182320898158,0.00502500599566942,"DIC_umol_kg","DICoce_mean","DICrefN",861,10
"year",0.596831974898372,9131.13260903391,0,9254.84306614903,-2.19083588518515,0.565580101076991,0.00568112874608664,"DIC_umol_kg","DICoce_mean","DICrefN",861,10
"SRnoYear",0.59577983602118,9135.31433888556,-4.18172985164529,9268.54098500953,-15.8887547456852,0.566750503941366,0.00544610232663065,"DIC_umol_kg","DICoce_mean","DICrefN",861,10
"subregion",0.597362968742476,9132.90260862651,-1.76999959260138,9270.88734925492,-18.2351189910696,0.567946825853569,0.00495114672038156,"DIC_umol_kg","DICoce_mean","DICrefN",861,10
"simple",0.197306538693548,9705.38311746986,-561.462735809151,9738.68977900086,-479.11081314237,0.190719182686494,0.00439824828381206,"DIC_umol_kg","DICoce_mean","DICrefN",861,11
"weightedEndmember",0.290985783783717,9600.51892902048,-456.598547359772,9643.34177956033,-383.762813701846,0.280831240832303,0.00621653177869726,"DIC_umol_kg","DICoce_mean","DICrefN",861,11
"cyclicalTime",0.408486701655379,9448.46611245196,-304.545730791249,9510.32134100952,-250.742375151034,0.393962210745953,0.00496729859293076,"DIC_umol_kg","DICoce_mean","DICrefN",861,11
"environmental",0.572427880893394,9173.93326477879,-30.0128831180773,9259.57896585849,0,0.555514025285028,0.00510409168361312,"DIC_umol_kg","DICoce_mean","DICrefN",861,11
"modMetabolism",0.589255588948577,9146.19177143462,-2.27138977391223,9265.14413404532,-5.5651681868294,0.557225259084593,0.00528971483327464,"DIC_umol_kg","DICoce_mean","DICrefN",861,11
"year",0.590799341298881,9143.92038166071,0,9267.63083877583,-8.05187291734546,0.552961192832008,0.0053292138116684,"DIC_umol_kg","DICoce_mean","DICrefN",861,11
"SRnoYear",0.589343531712004,9148.9158413371,-4.99545967639278,9282.14248746108,-22.563521602593,0.563233382519687,0.00521330171623725,"DIC_umol_kg","DICoce_mean","DICrefN",861,11
"subregion",0.590817166559309,9146.78760471409,-2.86722305337935,9284.7723453425,-25.1933794840079,0.55564614762356,0.00428376579746425,"DIC_umol_kg","DICoce_mean","DICrefN",861,11
"simple",0.197210847146121,9705.48575380078,-551.429446501113,9738.79241533177,-480.004360191746,0.186750281940847,0.0045678541480281,"DIC_umol_kg","DICoce_mean","DICrefN",861,12
"weightedEndmember",0.29036475696854,9601.2727503659,-447.21644306624,9644.09560090575,-385.307545765727,0.294878849270171,0.00568644194777861,"DIC_umol_kg","DICoce_mean","DICrefN",861,12
"cyclicalTime",0.407181899832255,9450.36327540088,-296.306968101213,9512.21850395844,-253.430448818412,0.395190561155615,0.00535520329604116,"DIC_umol_kg","DICoce_mean","DICrefN",861,12
"environmental",0.572820466373203,9173.14235406033,-19.0860467606635,9258.78805514002,0,0.552839355851016,0.00438178125219803,"DIC_umol_kg","DICoce_mean","DICrefN",861,12
"modMetabolism",0.584528333107193,9156.04442815038,-1.98812085072132,9274.99679076108,-16.2087356210523,0.556410349463928,0.00490456310146291,"DIC_umol_kg","DICoce_mean","DICrefN",861,12
"year",0.585953653692264,9154.05630729966,0,9277.76676441478,-18.9787092747592,0.557244525104717,0.00601395845989198,"DIC_umol_kg","DICoce_mean","DICrefN",861,12
"SRnoYear",0.584473543662711,9159.06639795194,-5.01009065227663,9292.29304407592,-33.5049889358907,0.553517032599383,0.00536024719193416,"DIC_umol_kg","DICoce_mean","DICrefN",861,12
"subregion",0.585814099134124,9157.25118898732,-3.19488168766111,9295.23592961573,-36.4478744757034,0.553000148039099,0.00484048915653639,"DIC_umol_kg","DICoce_mean","DICrefN",861,12
"simple",0.198558235504343,9704.0394512309,-544.964468217244,9737.3461127619,-479.084254698477,0.187411345612069,0.00466277558041986,"DIC_umol_kg","DICoce_mean","DICrefN",861,13
"weightedEndmember",0.289487610985308,9602.33633385618,-443.261350842518,9645.15918439603,-386.897326332606,0.277978673663657,0.00630627656126361,"DIC_umol_kg","DICoce_mean","DICrefN",861,13
"cyclicalTime",0.405636070790065,9452.60549188426,-293.530508870601,9514.46072044182,-256.1988623784,0.393082153785458,0.00521752999408216,"DIC_umol_kg","DICoce_mean","DICrefN",861,13
"environmental",0.573081455860814,9172.61615698372,-13.541173970063,9258.26185806342,0,0.561758773418493,0.00462427554992968,"DIC_umol_kg","DICoce_mean","DICrefN",861,13
"modMetabolism",0.582063930847052,9161.13642919309,-2.0614461794321,9280.08879180378,-21.8269337403635,0.546431780725957,0.00583927226973002,"DIC_umol_kg","DICoce_mean","DICrefN",861,13
"year",0.583533174898806,9159.07498301366,0,9282.78544012878,-24.5235820653597,0.545365483474298,0.00561437868121516,"DIC_umol_kg","DICoce_mean","DICrefN",861,13
"SRnoYear",0.582021400595334,9164.13247705415,-5.05749404049675,9297.35912317813,-39.0972651147113,0.550248481047131,0.00542862952014634,"DIC_umol_kg","DICoce_mean","DICrefN",861,13
"subregion",0.583368425846603,9162.32024650278,-3.24526348912696,9300.30498713119,-42.0431290677698,0.5419995395942,0.00596580866725338,"DIC_umol_kg","DICoce_mean","DICrefN",861,13
"simple",0.20015474306967,9702.32259041729,-537.407328962066,9735.62925194829,-476.733069315474,0.186958095269196,0.00410449736772487,"DIC_umol_kg","DICoce_mean","DICrefN",861,14
"weightedEndmember",0.28823302998084,9603.85529638368,-438.940034928455,9646.67814692353,-387.781964290718,0.281370758546051,0.0060784760834316,"DIC_umol_kg","DICoce_mean","DICrefN",861,14
"cyclicalTime",0.404180798831669,9454.71103303777,-289.795771582545,9516.56626159533,-257.670078962519,0.381448417636795,0.00581331014571489,"DIC_umol_kg","DICoce_mean","DICrefN",861,14
"environmental",0.572766816254263,9173.25048155311,-8.33522009788794,9258.89618263281,0,0.55391682462534,0.0055455097418704,"DIC_umol_kg","DICoce_mean","DICrefN",861,14
"modMetabolism",0.579303440673633,9166.80468139984,-1.88941994460947,9285.75704401053,-26.860861377716,0.551917280739828,0.00513794021380981,"DIC_umol_kg","DICoce_mean","DICrefN",861,14
"year",0.58069862187666,9164.91526145523,0,9288.62571857035,-29.7295359375348,0.547782199185951,0.00501626946023106,"DIC_umol_kg","DICoce_mean","DICrefN",861,14
"SRnoYear",0.579274009976811,9169.77334706604,-4.85808561081649,9302.99999319002,-44.1038105572061,0.55021960551864,0.00512345676511707,"DIC_umol_kg","DICoce_mean","DICrefN",861,14
"subregion",0.58052470576342,9168.17703951639,-3.26177806115993,9306.16178014479,-47.2655975119778,0.550301755976424,0.00529004745913418,"DIC_umol_kg","DICoce_mean","DICrefN",861,14
"simple",0.0793446905713675,9591.32496790132,-456.252620616771,9624.63162943231,-370.868112860775,0.071314073657883,0.00372797167321258,"TA_umol_kg","TAoce_mean","TArefN",861,1
"weightedEndmember",0.289371116105228,9370.36521188481,-235.292864600271,9413.18806242466,-159.42454585313,0.276522657483152,0.00674254906965878,"TA_umol_kg","TAoce_mean","TArefN",861,1
"cyclicalTime",0.342979701342175,9306.78530776072,-171.712960476179,9368.64053631828,-114.877019746749,0.332528267031101,0.00651228981330759,"TA_umol_kg","TAoce_mean","TArefN",861,1
"environmental",0.443897179642768,9168.11781549184,-33.0454682072923,9253.76351657153,0,0.416351568454551,0.00748607180698864,"TA_umol_kg","TAoce_mean","TArefN",861,1
"modMetabolism",0.448855288109739,9167.23610183076,-32.1637545462199,9286.18846444146,-32.4249478699221,0.392088195066856,0.00778194426343125,"TA_umol_kg","TAoce_mean","TArefN",861,1
"year",0.44940085945137,9167.3540976259,-32.2817503413607,9291.06455474103,-37.3010381694912,0.402062328003545,0.00898210243275185,"TA_umol_kg","TAoce_mean","TArefN",861,1
"SRnoYear",0.470854649039211,9135.07234728454,0,9268.29899340852,-14.5354768369853,0.43878181955738,0.00667243682424082,"TA_umol_kg","TAoce_mean","TArefN",861,1
"subregion",0.471339395166738,9135.25023654414,-0.177889259597578,9273.23497717255,-19.4714606010111,0.439234310377692,0.0077743456777581,"TA_umol_kg","TAoce_mean","TArefN",861,1
"simple",0.0771889511290244,9593.33866616878,-490.057081529645,9626.64532769977,-390.137096936664,0.0671990673259904,0.00380517610776426,"TA_umol_kg","TAoce_mean","TArefN",861,2
"weightedEndmember",0.305242781038209,9350.917055254,-247.635470614865,9393.73990579385,-157.231675030738,0.304388239435303,0.00668790956574921,"TA_umol_kg","TAoce_mean","TArefN",861,2
"cyclicalTime",0.360182236673868,9283.94166647282,-180.660081833688,9345.79689503038,-109.288664267273,0.337307815109741,0.00696517825398613,"TA_umol_kg","TAoce_mean","TArefN",861,2
"environmental",0.453730825831669,9152.7564057309,-49.4748210917696,9238.4021068106,-1.89387604749209,0.424745792939988,0.00656797032891715,"TA_umol_kg","TAoce_mean","TArefN",861,2
"modMetabolism",0.474108195875519,9126.85355415118,-23.5719695120442,9245.80591676187,-9.29768599876115,0.429349379977487,0.00733403202158565,"TA_umol_kg","TAoce_mean","TArefN",861,2
"year",0.474662815402392,9126.91575259996,-23.6341679608231,9250.62620971508,-14.1179789519683,0.439254974709189,0.007157885259475,"TA_umol_kg","TAoce_mean","TArefN",861,2
"SRnoYear",0.490036022758511,9103.28158463913,0,9236.50823076311,0,0.446101175725051,0.00768361663254212,"TA_umol_kg","TAoce_mean","TArefN",861,2
"subregion",0.490369546786174,9103.68530008468,-0.403715445550915,9241.67004071309,-5.16180994997922,0.447583149481472,0.00730602661966457,"TA_umol_kg","TAoce_mean","TArefN",861,2
"simple",0.0894553481747602,9581.81714260352,-509.778859384796,9615.12380413451,-409.858874791815,0.0805301590215973,0.00439464655052511,"TA_umol_kg","TAoce_mean","TArefN",861,3
"weightedEndmember",0.323071796087228,9328.53342957897,-256.495146360254,9371.35628011882,-166.091350776127,0.317239583693358,0.007245110721967,"TA_umol_kg","TAoce_mean","TArefN",861,3
"cyclicalTime",0.374170074616972,9264.90948403459,-192.871200815867,9326.76471259215,-121.499783249452,0.35959042663819,0.00662217109420378,"TA_umol_kg","TAoce_mean","TArefN",861,3
"environmental",0.463717735119761,9136.86991288339,-64.8316296646681,9222.51561396309,-17.2506846203905,0.434265485848954,0.00779345442100705,"TA_umol_kg","TAoce_mean","TArefN",861,3
"modMetabolism",0.496856849475986,9088.77946868356,-16.7411854648362,9207.73183129425,-2.46690195155315,0.470662295397777,0.00720156775585224,"TA_umol_kg","TAoce_mean","TArefN",861,3
"year",0.497615520220547,9088.45093035891,-16.4126471401905,9212.16138747403,-6.89645813133575,0.457621215336781,0.0085421681685924,"TA_umol_kg","TAoce_mean","TArefN",861,3
"SRnoYear",0.508209474546807,9072.03828321872,0,9205.26492934269,0,0.47447147392423,0.00776875498716238,"TA_umol_kg","TAoce_mean","TArefN",861,3
"subregion",0.508695884807679,9072.15328775701,-0.11500453829467,9210.13802838542,-4.87309904272297,0.464163471041292,0.00804780996069114,"TA_umol_kg","TAoce_mean","TArefN",861,3
"simple",0.103046784717308,9568.86836115114,-540.069757994097,9602.17502268214,-440.851562651462,0.103525511758282,0.00480614676472072,"TA_umol_kg","TAoce_mean","TArefN",861,4
"weightedEndmember",0.342308663858506,9303.71123896302,-274.912635805971,9346.53408950287,-185.210629472191,0.317646256006367,0.00804315387560523,"TA_umol_kg","TAoce_mean","TArefN",861,4
"cyclicalTime",0.385953673098427,9248.54336079659,-219.744757639546,9310.39858935415,-149.075129323477,0.367557050679945,0.00697138277534974,"TA_umol_kg","TAoce_mean","TArefN",861,4
"environmental",0.474022598218237,9120.16445800499,-91.3658548479398,9205.81015908469,-44.4866990540086,0.43891633560985,0.00746318004703056,"TA_umol_kg","TAoce_mean","TArefN",861,4
"modMetabolism",0.523258614187858,9042.37109741998,-13.5724942629367,9161.32346003068,0,0.481766775411551,0.00698664244666661,"TA_umol_kg","TAoce_mean","TArefN",861,4
"year",0.52405245426998,9041.90693001812,-13.1083268610764,9165.61738713324,-4.29392710256798,0.48587970586299,0.00695381344603374,"TA_umol_kg","TAoce_mean","TArefN",861,4
"SRnoYear",0.532297428682008,9028.79860315705,0,9162.02524928102,-0.701789250346337,0.482991606533325,0.00748002469473999,"TA_umol_kg","TAoce_mean","TArefN",861,4
"subregion",0.532818287065643,9028.80622006401,-0.00761690695981088,9166.79096069241,-5.46750066173445,0.485884733430385,0.00898651492730443,"TA_umol_kg","TAoce_mean","TArefN",861,4
"simple",0.108183966599497,9563.92292085549,-559.623161550129,9597.22958238649,-460.832493714504,0.0977668287070136,0.00427333443156483,"TA_umol_kg","TAoce_mean","TArefN",861,5
"weightedEndmember",0.353621985082385,9288.77182803588,-284.472068730522,9331.59467857573,-195.197589903752,0.341511634259331,0.00679435164276087,"TA_umol_kg","TAoce_mean","TArefN",861,5
"cyclicalTime",0.392473882098479,9239.3520053658,-235.052246060435,9301.20723392336,-164.810145251377,0.359384671540774,0.0070555522367889,"TA_umol_kg","TAoce_mean","TArefN",861,5
"environmental",0.475933799329664,9117.03021487407,-112.730455568708,9202.67591595377,-66.278827281787,0.446534939398335,0.00773599254790014,"TA_umol_kg","TAoce_mean","TArefN",861,5
"modMetabolism",0.536862638880553,9017.44472606129,-13.1449667559264,9136.39708867198,0,0.495560290180046,0.00730268129791911,"TA_umol_kg","TAoce_mean","TArefN",861,5
"year",0.537940631298543,9016.40904905479,-12.1092897494273,9140.11950616991,-3.7224174979292,0.488894412898725,0.00825651732446917,"TA_umol_kg","TAoce_mean","TArefN",861,5
"SRnoYear",0.545127816562321,9004.84894230984,-0.549183004473889,9138.07558843381,-1.67849976183061,0.502434022953451,0.00781399447457686,"TA_umol_kg","TAoce_mean","TArefN",861,5
