Record,Longitude,Latitude,Station,Depth,Date,GMT,SST,SSS,Chla,Phaeophytin ,NH4,PO4,NO3+NO2,NO2,NO3,Si
224,-81.4183,24.5767,20,0,7/31/98,14:14,31.138,34.539,,,,,,,,
225,-81.4217,24.61,19,0,7/31/98,14:34,31.587,34.172,,,,,,,,
226,-81.8283,24.455,22,0,7/31/98,17:36,30.976,34.361,0.481,0.033,,,,,,
227,-81.8283,24.4867,23,0,7/31/98,18:19,31.868,34.439,,,,,,,,
228,-81.8283,24.5367,24,0,7/31/98,18:56,32.166,34.609,0.827,0.227,,,,,,
320,-81.8283,24.5367,24,0,10/20/98,11:41,27.5,34.57,4.658,0.975,,,3.715,,,
321,-81.8283,24.4883,23,0,10/20/98,12:08,27.56,35.13,2.28,0.497,,,0.963,,,
322,-81.8283,24.455,22,0,10/20/98,12:25,27.9,35.44,1.154,0.267,,,0.678,,,
323,-81.4183,24.6083,19,0,10/20/98,15:27,27.8,34.94,1.724,0.31,,,0.809,,,
324,-81.4183,24.5767,20,0,10/20/98,15:46,27.9,35.24,1.17,0.185,,,1.014,,,
325,-81.4133,24.5367,21,0,10/20/98,16:29,28.6,35.84,0.232,0,,,0.317,,,
326,-81.205,24.6733,16,0,10/20/98,18:23,28.274,35.54,0.681,0.088,,,1.116,,,
327,-81.1933,24.6383,17,0,10/20/98,18:43,28.8,35.74,0.289,0.031,,,0.388,,,
328,-81.1817,24.6017,18,0,10/20/98,19:23,28.4,35.84,0.153,0,,,0.742,,,
329,-81.0317,24.6983,13,0,10/20/98,20:56,28.1,35.54,0.669,0.15,,,1.048,,,
330,-81.0233,24.6767,14,0,10/20/98,21:12,28.4,35.84,,,,,,,,
331,-81.015,24.6417,15,0,10/20/98,21:30,28.4,35.74,0.183,0,,,0.556,,,
333,-80.8617,24.7883,10,0,10/21/98,13:47,29,35.94,0.364,0.205,,,0.83,,,
334,-80.845,24.755,11,0,10/21/98,14:08,27.7,35.72,0.543,0.042,,,0.588,,,
335,-80.835,24.7133,12,0,10/21/98,14:31,27.9,35.54,0.183,0.041,,,0.636,,,
336,-80.76,24.8183,7,0,10/21/98,15:53,27.68,35.74,0.525,0.083,,,0.801,,,
337,-80.7467,24.8,8,0,10/21/98,16:10,27.8,35.64,0.422,0.02,,,0.821,,,
338,-80.7217,24.765,9,0,10/21/98,16:33,28.2,35.64,0.166,0.037,,,0.598,,,
339,-80.3783,25.1067,4,0,10/21/98,20:00,28.7,35.74,0.333,0.042,,,0.846,,,
340,-80.355,25.0933,5,0,10/21/98,20:16,29,35.84,,,,,,,,
341,-80.315,25.0667,6,0,10/21/98,20:59,28.9,35.84,0.29,0.081,,,0.511,,,
342,-80.0817,25.6433,3,0,10/22/98,12:59,28.06,35.14,0.781,0.136,,,0.619,,,
343,-80.1033,25.645,2,0,10/22/98,13:17,28.1,35.24,,,,,,,,
344,-80.1267,25.645,1,0,10/22/98,13:29,28.07,34.14,0.87,0.384,,,0.58,,,
394,-81.8233,24.54,24,0,12/14/98,12:32,24.85,36.034,,,,,2.518,,,
395,-81.83,24.4883,23,0,12/14/98,13:04,25.1,35.784,,,,,,,,
396,-81.83,24.4567,22,0,12/14/98,13:25,25.5,35.869,,,,,0.502,,,
397,-81.4217,24.61,19,0,12/14/98,16:33,24.7,35.869,0.57,,,,0.873,,,
398,-81.4183,24.58,20,0,12/14/98,16:53,25.05,35.834,,,,,,,,
399,-81.4133,24.54,21,0,12/14/98,17:17,25.6,35.884,0.42,,,,0.29,,,
400,-81.2067,24.6717,16,0,12/14/98,19:07,24.8,35.589,0.35,,,,0.649,,,
401,-81.1933,24.6383,17,0,12/14/98,19:30,24.885,35.799,,,,,,,,
402,-81.1817,24.6033,18,0,12/14/98,20:08,25.5,35.904,0.51,,,,0.371,,,
403,-81.015,24.6433,15,0,12/14/98,21:56,25.6,35.734,0.45,,,,0.454,,,
404,-81.0233,24.6733,14,0,12/14/98,22:26,25.7,35.834,0.56,,,,0.503,,,
405,-81.03,24.7,13,0,12/14/98,23:00,24.485,35.804,0.54,,,,0.504,,,
406,-80.8633,24.7883,10,0,12/15/98,13:13,22.875,35.434,,,,,1.074,,,
407,-80.845,24.755,11,0,12/15/98,13:39,24.07,35.289,,,,,,,,
408,-80.835,24.7167,12,0,12/15/98,14:04,25.36,35.902,0.44,,,,0.374,,,
409,-80.7567,24.8217,7,0,12/15/98,15:11,22.8,35.724,0.26,,,,0.517,,,
410,-80.7467,24.8017,8,0,12/15/98,15:27,23.925,35.884,0.52,,,,,,,
411,-80.725,24.7667,9,0,12/15/98,15:52,25.24,35.874,0.31,,,,0.33,,,
412,-80.3817,25.105,4,0,12/15/98,19:24,23.285,36.074,0.27,,,,0.465,,,
413,-80.3583,25.095,5,0,12/15/98,19:41,24.115,35.939,,,,,,,,
414,-80.3167,25.0683,6,0,12/15/98,20:08,24.955,35.919,0.49,,,,,,,
415,-80.1033,25.6483,2,0,12/16/98,14:30,24.24,35.619,0.98,,,,,,,
416,-80.1233,25.6467,1,0,12/16/98,14:46,23.386,35.63,1.75,,,,,,,
463,-81.8267,24.54,24,0,2/9/99,12:29,24.747,35.702,0.28,,,0.026,1.02,,,1.01
464,-81.8283,24.4867,23,0,2/9/99,13:07,24.756,36.194,,,,0.025,0.259,,,2.742
465,-81.8283,24.4583,22,0,2/9/99,13:27,24.779,36.222,0.14,,,0.02,0.119,,,0.144
466,-81.425,24.6067,19,0,2/9/99,16:36,25.57,35.363,,,,,,,,
467,-81.4183,24.5783,20,0,2/9/99,17:07,24.58,35.853,,,,,,,,
468,-81.4133,24.5383,21,0,2/9/99,17:51,24.725,35.778,,,,0.063,0.669,,,8.225
469,-81.2067,24.67,16,0,2/9/99,20:02,25.325,34.548,0.24,,,0.026,0.298,,,3.391
470,-81.1917,24.6383,17,0,2/9/99,20:30,24.74,35.783,,,,0,0.333,,,23.882
471,-81.18,24.6017,18,0,2/9/99,21:07,25.212,36.196,0.12,,,0.02,0.127,,,0.216
472,-81.0167,24.64,15,0,2/9/99,22:22,25.251,36.233,,,,,,,,
473,-81.0217,24.67,14,0,2/9/99,23:04,25.125,36.272,,,,,,,,
474,-81.03,24.6983,13,0,2/9/99,23:32,25.004,36.006,,,,0.033,1.394,,,24.747
475,-80.8617,24.7883,10,0,2/10/99,14:21,24.849,36.037,0.24,,,0.008,0.311,,,1.443
476,-80.8467,24.7567,11,0,2/10/99,14:44,24.563,36.231,0.17,,,0.005,0.295,,,1.082
477,-80.8333,24.7167,12,0,2/10/99,15:05,24.957,36.232,0.16,,,0.014,0.166,,,0.361
478,-80.7583,24.82,7,0,2/10/99,16:13,25.086,36.5,0.15,,,0.008,0.311,,,2.092
479,-80.7483,24.8033,8,0,2/10/99,16:43,24.69,36.389,0.13,,,0.032,0.143,,,6.999
480,-80.7233,24.765,9,0,2/10/99,17:16,25.139,36.249,0.15,,,0.02,0.12,,,0.361
481,-80.3183,25.06,6,0,2/10/99,20:50,25.779,36.226,0.08,,,0.024,0.136,,,0.505
482,-80.35,25.0933,5,0,2/10/99,21:20,25.019,36.325,,,,,,,,
483,-80.3767,25.1067,4,0,2/10/99,21:36,25.051,36.548,0.15,,,0.022,0.156,,,0.938
484,-80.08,25.6417,3,0,2/11/99,1:46,25.059,36.246,,,,0.028,0.19,,,0.433
485,-80.1,25.6433,2,0,2/11/99,2:05,24.54,36.389,0.21,,,,,,,
486,-80.125,25.645,1,0,2/11/99,2:20,24.511,35.516,0.23,,,0.036,0.127,,,1.299
533,-81.829,24.5397,24,0,4/15/99,11:33,26.29,36.423,0.15,,,0.036,0.51,,,0
534,-81.8268,24.4842,23,0,4/15/99,12:12,25.618,36.341,,,,0.034,0.377,,,0
535,-81.829,24.4542,22,0,4/15/99,12:36,25.963,36.346,0.05,,,0,0.604,,,0
536,-81.4223,24.6085,19,0,4/15/99,15:38,26.523,36.687,0.11,,,0.025,0.433,,,0
537,-81.4172,24.5752,20,0,4/15/99,16:04,25.933,36.401,0.08,,,0.017,0.249,,,0
538,-81.4127,24.5383,21,0,4/15/99,16:57,26.15,36.354,0.03,,,0.055,0.133,,,0
539,-81.3983,24.5033,21.5,0,4/15/99,17:54,25.231,36.373,,,,,,,,
540,-81.183,24.5985,18,0,4/15/99,20:05,26.455,36.352,0.05,,,0.03,0.532,,,0
541,-81.1927,24.6347,17,0,4/15/99,20:44,27.039,36.434,0.09,,,0.018,0.276,,,0
542,-81.2048,24.674,16,0,4/15/99,21:19,27.5,36.419,0.09,,,0.039,0.209,,,0
543,-81.0132,24.6442,15,0,4/15/99,22:01,26.419,36.38,0.07,,,0.057,0.151,,,0
544,-81.0233,24.6747,14,0,4/15/99,23:16,26.706,36.362,0.16,,,0.077,0.204,,,0.588
545,-81.0303,24.7005,13,0,4/15/99,23:43,27.288,36.113,0.11,,,0.04,0.263,,,4.024
546,-80.8598,24.7873,10,0,4/16/99,13:16,27.385,35.982,0.1,,,0.038,0.567,,,3.054
547,-80.8467,24.7537,11,0,4/16/99,13:45,27.4,35.925,0.11,,,0.008,0.302,,,3.774
548,-80.8312,24.7125,12,0,4/16/99,14:12,26.563,36.089,0.13,,,0.066,0.253,,,1.045
549,-80.7558,24.8198,7,0,4/16/99,15:14,27.618,36.025,0.14,,,0.023,0.314,,,3.234
550,-80.7417,24.7932,8,0,4/16/99,15:32,27.311,36.148,0.15,,,0.029,0.284,,,1.705
551,-80.7217,24.7617,9,0,4/16/99,15:56,26.927,36.154,0.15,,,0.077,0.12,,,1.315
552,-80.315,25.06,6,0,4/16/99,19:02,26.86,36.31,0.1,,,0.037,0.557,,,0.055
553,-80.3547,25.0938,5,0,4/16/99,19:38,27.205,36.49,0.06,,,0.072,0.372,,,0
554,-80.3788,25.1082,4,0,4/16/99,19:55,27.701,37.194,0.32,,,0.016,0.396,,,0
555,-80.0803,25.645,3,0,4/17/99,13:09,26.391,36.337,,,,0.063,0.593,,,0.535
556,-80.1055,25.6448,2,0,4/17/99,13:33,25.931,36.334,0.15,,,0.028,0.199,,,4.134
557,-80.126,25.6447,1,0,4/17/99,13:46,26.77,36.395,0.08,,,0.092,0.462,,,4.014
558,-80.1275,25.6455,1,0,6/8/99,13:34,29.53,36.446,0.33,,,0.04,0.168,,,2.089
559,-80.1062,25.6458,2,0,6/8/99,13:56,27.15,35.27,0.31,,,0.006,0.109,,,0.613
560,-80.084,25.645,3,0,6/8/99,14:15,27.5,35.341,0.32,,,0.02,0.17,,,0.386
561,-80.3793,25.1078,4,0,6/8/99,19:15,29.31,36.45,0.19,,,0.026,0.078,,,6.684
562,-80.355,25.0933,5,0,6/8/99,19:34,29.21,36.204,0.26,,,0.02,0.349,,,2.024
563,-80.316,25.0645,6,0,6/8/99,20:04,28.68,36.287,0.19,,,0.004,0.046,,,0.321
564,-80.7553,24.8208,7,0,6/9/99,12:36,28.68,36.466,0.14,,,0.026,0.048,,,3.31
565,-80.7413,24.7928,8,0,6/9/99,12:58,28.51,36.337,0.17,,,,0.407,,,0.321
566,-80.725,24.7623,9,0,6/9/99,13:50,28.45,36.313,0.19,,,0.004,0.407,,,0.803
567,-80.8602,24.7892,10,0,6/9/99,14:39,28.87,36.347,0.23,,,0.004,0.242,,,0.45
568,-80.8468,24.753,11,0,6/9/99,15:02,28.7,36.3,0.15,,,,0.006,,,5.366
569,-80.8317,24.7135,12,0,6/9/99,15:25,28.48,36.311,0.11,,,0.08,0.117,,,0.321
570,-81.0158,24.6427,15,0,6/9/99,17:25,28.73,36.431,0.3,,,0.004,0.457,,,0.9
571,-81.0232,24.6745,14,0,6/9/99,18:02,29.42,36.38,0.16,,,0.004,0.408,,,0.482
572,-81.0307,24.7005,13,0,6/9/99,18:30,29.48,36.592,0.19,,,0.074,0.08,,,2.185
573,-81.1835,24.5978,18,0,6/9/99,20:51,29.629,36.433,0.35,,,0.006,0.396,,,0.996
574,-81.1928,24.6347,17,0,6/9/99,21:25,29.54,36.524,0.2,,,0.004,0.427,,,4.563
575,-81.2053,24.6743,16,0,6/9/99,21:59,29.92,36.852,0.17,,,0.049,0.529,,,2.314
576,-81.4208,24.61,19,0,6/10/99,13:59,29.7,36.576,0.23,,,0,0.606,,,0.963
577,-81.419,24.5748,20,0,6/10/99,14:25,29.12,36.77,0.22,,,0,0.365,,,1.58
578,-81.4123,24.5387,21,0,6/10/99,14:57,28.45,36.365,0.12,,,0,0.194,,,0.901
580,-81.8272,24.4552,22,0,6/10/99,20:53,29.25,36.277,0.52,,,,,,,
581,-81.8278,24.485,23,0,6/10/99,21:26,30.35,36.364,0.59,,,0,0,,,0.901
582,-81.8278,24.5358,24,0,6/10/99,21:52,29.81,36.299,1.9,,,,,,,
633,-80.1268,25.6448,1,0,8/3/99,13:29,30.472,35.761,2.54,0.64,,0,0.862,,,0.52
634,-80.1055,25.645,2,0,8/3/99,13:50,31.124,36.286,0.27,0.201,,0,0.888,,,1.985
635,-80.085,25.6433,3,0,8/3/99,14:08,30.416,36.368,0.32,0.202,,0,1.017,,,2.371
636,-80.3803,25.1095,4,0,8/3/99,18:52,32.18,36.56,0.21,0.172,,0.136,0.369,,,2.988
637,-80.3557,25.0933,5,0,8/3/99,19:11,31.625,36.347,0.23,0.182,,0,0.091,,,2.564
638,-80.3153,25.0647,6,0,8/3/99,19:41,31.114,36.262,0.29,0.102,,0.013,0.868,,,2.679
639,-80.7223,24.764,9,0,8/4/99,23:37,30.676,36.259,1.72,1.131,,0.041,0.741,,,0.114
640,-80.7425,24.7928,8,0,8/4/99,0:09,32.492,36.991,1.73,0.459,,0.133,0.415,,,4.486
641,-80.7555,24.82,7,0,8/4/99,0:29,32.405,38.305,1.37,0.569,,0.149,1.37,,,14.701
642,-80.86,24.7873,10,0,8/4/99,12:35,31.476,36.984,0.23,0,,0.061,1.652,,,14.701
643,-80.8477,24.7538,11,0,8/4/99,12:58,32.236,37.633,0.65,0.333,,0.061,2.24,,,11.547
644,-80.8317,24.7125,12,0,8/4/99,13:26,30.844,36.805,0.5,0.227,,1.6,0,,,2.264
645,-81.029,24.7018,13,0,8/4/99,15:23,31.362,36.526,1.34,0.332,,0.028,0.276,,,0
646,-81.0242,24.6755,14,0,8/4/99,15:42,30.49,36.264,0.16,0.251,,2.5,3.247,,,2.448
647,-81.0167,24.6425,15,0,8/4/99,16:14,30.664,36.006,0.25,0.221,,0.155,0,,,0
653,-81.2042,24.6737,16,0,8/5/99,13:15,30.396,36.489,0.73,0.484,,0.176,0.11,,,0
654,-81.1923,24.6353,17,0,8/5/99,13:40,31.31,36.408,1.9,0.424,,0.108,0.278,,,0
655,-81.182,24.5978,18,0,8/5/99,14:15,30.469,36.375,0.84,0.258,,0.076,0.355,,,0
656,-81.4215,24.6102,19,0,8/5/99,16:19,30.607,36.89,1.05,0.453,,0.067,0.013,,,0
657,-81.4172,24.5748,20,0,8/5/99,16:43,31.211,36.684,0.77,0.318,,0.077,0.032,,,0
658,-81.4112,24.5367,21,0,8/5/99,17:16,30.667,36.318,0.44,0.185,,0.066,0.112,,,0
659,-81.8285,24.4548,22,0,8/5/99,21:34,30.636,36.327,1.58,0.678,,0.079,0.152,,,0
660,-81.8282,24.487,23,0,8/5/99,22:12,30.936,36.32,,,,0.057,0,,,0
661,-81.828,24.5367,24,0,8/5/99,22:41,31.064,36.827,1.55,0.602,,0.049,0.741,,,0
761,-81.822,24.455,22,0,10/8/99,12:10,28.866,35.268,0.44,0.257,,0.147,0,,,0.766
762,-81.8282,24.4868,23,0,10/8/99,12:36,28.513,35.091,0.466,0.27,,0.067,0.232,,,0.547
763,-81.829,24.5377,24,0,10/8/99,13:08,28.07,34.304,0.475,0.356,,0.021,0.994,,,1.86
764,-81.4215,24.6097,19,0,10/9/99,14:58,28.001,34.367,0.623,0.251,,0,1.092,,,1.681
765,-81.4177,24.5748,20,0,10/9/99,15:21,28.294,34.527,,,,0,0.496,,,1.46
766,-81.4103,24.5367,21,0,10/9/99,16:02,28.882,35.351,0.401,0.24,,0,0,,,0.24
767,-81.405,24.455,21,0,10/9/99,17:11,28.218,35.7,,,,,,,,
768,-81.4103,24.425,21,0,10/9/99,17:51,28.648,36.087,,,,0.151,0.125,,,2.954
769,-81.1817,24.5983,18,0,10/9/99,20:32,28.855,35.431,,,,0,0,,,0.628
770,-81.193,24.6353,17,0,10/9/99,21:07,28.784,35.128,,,,0,0,,,2.18
771,-81.2045,24.6745,16,0,10/9/99,21:40,28.675,34.194,,,,0,0.107,,,2.014
772,-81.0148,24.6427,15,0,10/9/99,23:07,28.872,35.495,0.47,0.47,,0,0.018,,,0.961
773,-81.0247,24.6743,14,0,10/9/99,23:38,28.477,35.241,,,,0,0,,,3.123
774,-81.0297,24.7008,13,0,10/10/99,0:05,28.65,34.695,,,,0,1.248,,,5.118
775,-80.8598,24.7882,10,0,10/10/99,14:22,27.986,34.934,,,,0,0.092,,,0.462
776,-80.8462,24.7528,11,0,10/10/99,14:46,28.531,35.235,,,,0,0,,,2.18
777,-80.8297,24.7137,12,0,10/10/99,15:13,28.68,35.491,,,,0,0.003,,,1.404
778,-80.7553,24.8202,7,0,10/10/99,16:20,28.203,35.28,,,,0.026,0.134,,,1.016
779,-80.7425,24.792,8,0,10/10/99,16:40,28.516,35.326,,,,0,0,,,0.296
780,-80.725,24.7627,9,0,10/10/99,17:03,28.642,35.609,,,,0.022,0,,,1.349
781,-80.3143,25.0648,6,0,10/10/99,21:12,28.867,35.68,,,,0,0.097,,,1.681
782,-80.3548,25.094,5,0,10/10/99,21:42,28.178,35.15,,,,0.031,0.035,,,0.129
783,-80.3798,25.1082,4,0,10/10/99,21:59,28.163,34.425,,,,0.036,0,,,0.462
784,-80.0843,25.6445,3,0,10/11/99,13:38,27.894,34.92,,,,0.037,0.236,,,0.351
785,-80.1048,25.6452,2,0,10/11/99,13:52,27.878,34.828,,,,0.035,0.309,,,1.349
786,-80.1262,25.6453,1,0,10/11/99,14:04,27.523,33.256,,,,0.049,1.392,,,3.289
787,-80.1267,25.6452,1,0,12/6/99,14:14,24.382,36.205,0.371,0.352,,0.087,0.018,,,0
788,-80.104,25.6453,2,0,12/6/99,14:34,24.837,36.205,0.249,0.267,,0.043,0.042,,,0
789,-80.0822,25.6433,3,0,12/6/99,14:56,25.103,36.208,0.28,0.249,,0.023,0.023,,,0
790,-80.3795,25.1093,4,0,12/6/99,20:03,21.215,32.931,0.619,0.348,,0.024,0,,,0
791,-80.3542,25.093,5,0,12/6/99,20:24,23.296,36.274,0.421,0.25,,0.014,0.013,,,0
792,-80.316,25.0657,6,0,12/6/99,22:39,25.188,36.198,0.223,0.165,,0.111,0.056,,,0
793,-80.7557,24.8205,7,0,12/7/99,12:49,21.733,34.563,0.298,0.299,,0.088,0.132,,,0.327
794,-80.7407,24.7927,8,0,12/7/99,13:10,24.317,35.066,,,,,,,,
795,-80.7232,24.7633,9,0,12/7/99,13:31,24.841,36.222,0.268,0.176,,0.056,0.086,,,0
